precio,superficie_total,superficie_util,dormitorios,banos,estacionamientos,tipo
14000,650,550,5,5,4,Casa
19800,502,408,5,4,0,Casa
7000,208,160,4,3,2,Casa
4500,100,100,3,2,1,Casa
6000,100,86,3,2,1,Casa
13000,500,240,4,3,0,Casa
5230.279395,140,100,4,4,1,Casa
9000,410,139,4,4,3,Casa
5000,227,62,2,1,1,Casa
6537.849244,200,160,3,2,1,Casa
13957,400,200,4,2,0,Casa
16500,500,450,5,5,2,Casa
8700,416,138,3,3,4,Casa
29000,400,390,5,3,2,Casa
5990,139,99,5,3,2,Casa
7800,280,125.62,4,4,2,Casa
19800,500,363,5,5,1,Casa
16900,448,252,5,4,2,Casa
9700,200,200,4,3,1,Casa
12500,408,220,4,3,5,Casa
22000,500,277,5,3,2,Casa
15000,270,270,5,2,0,Casa
13680,354,159,4,3,2,Casa
21000,500,500,7,8,4,Casa
7355.080399,235,145,6,3,3,Casa
3759.263315,84,136,4,3,0,Casa
24900,750,440,4,4,2,Casa
8400,200,200,3,2,2,Casa
4364,148,148,4,2,1,Casa
5200,114,114,5,2,2,Casa
3138.167637,100,145,4,2,1,Casa
60000,990,670,8,8,0,Casa
7000,132,200,3,3,2,Casa
18300,261,326,5,5,1,Casa
7750,184,139,4,3,1,Casa
6060,166,130,4,3,1,Casa
11700,284,195,7,2,0,Casa
7750,200,170,3,3,2,Casa
13500,300,360,4,4,0,Casa
20000,400,250,5,4,0,Casa
27500,844,506,5,3,2,Casa
16500,415,243,5,4,2,Casa
2590,84,56,3,2,0,Casa
8500,400,139,4,4,2,Casa
19500,557,557,5,4,2,Casa
5500,85,126,3,2,1,Casa
8826.096479,370,370,9,9,3,Casa
12000,337,211,5,4,4,Casa
8470,210,180,8,3,2,Casa
6800,5000,100,2,1,5,Casa
25000,660,250,4,3,4,Casa
11441.23618,2000,2000,17,5,0,Casa
5703,150,123,4,3,1,Casa
24900,770,430,4,4,2,Casa
5066.833164,270,264,7,7,2,Casa
14950,399,241,5,4,3,Casa
1961.354773,112,131,4,1,0,Casa
22000,500,277,5,3,2,Casa
13590,2650,400,4,4,10,Casa
14710.1608,400,400,3,2,2,Casa
6100,230,180,3,3,1,Casa
9900,460,460,15,15,0,Casa
7000,160,160,3,2,1,Casa
9500,304,226,4,3,2,Casa
7100,247,86,5,3,2,Casa
16680,400,250,5,4,2,Casa
5350,200,120,4,3,3,Casa
26151.39697,665,665,6,4,1,Casa
11000,400,185,4,4,2,Casa
14800,390,200,4,3,2,Casa
7845.419092,230,115,5,3,4,Casa
8550,252,253,6,3,2,Casa
3922.709546,147,147,3,2,2,Casa
9800,455,140,4,3,5,Casa
11000,350,200,5,3,2,Casa
19800,530,408,6,3,2,Casa
19800,400,280,5,4,2,Casa
16900,490,250,6,4,2,Casa
7000,199,199,4,3,0,Casa
4500,250,140,5,2,4,Casa
5100,95,84,3,3,1,Casa
2970,120,120,9,3,2,Casa
19000,450,262,6,5,3,Casa
25000,1200,650,7,5,0,Casa
9927,5700,1,3,3,3,Casa
6864.741706,328,262,4,4,2,Casa
25000,470,447,4,4,2,Casa
4576.494471,130,130,6,4,2,Casa
3922.709546,84,56,3,2,1,Casa
3650,122.3,122.3,4,2,0,Casa
27500,900,480,6,7,2,Casa
4250,120,150,7,3,0,Casa
12500,139,139,5,4,2,Casa
8400,200,150,3,3,2,Casa
45000,490,600,8,9,4,Casa
9900,495,138,5,3,3,Casa
6200,218,90,3,3,4,Casa
18500,500,220,5,3,3,Casa
11318,240,140,3,1,1,Casa
19800,560,240,5,5,2,Casa
6864.741706,230,115,5,3,4,Casa
25150,600,300,4,3,5,Casa
17979.08542,330,266,10,4,0,Casa
13500,512,260,5,5,3,Casa
32000,1000,600,6,5,2,Casa
29000,578,432,5,5,3,Casa
6701.295475,328,262,4,4,0,Casa
12000,340,140,4,2,4,Casa
23500,800,300,5,4,0,Casa
25000,1200,400,5,5,8,Casa
1634.462311,122,105,2,1,0,Casa
9215,200,140,3,3,3,Casa
7100,155,95,3,3,2,Casa
17000,460,320,5,3,1,Casa
8886,246,193,6,3,3,Casa
9500,100,145,4,3,2,Casa
6864.741706,328,262,4,4,2,Casa
6864.741706,328,262,4,4,0,Casa
9500,280,140,4,3,3,Casa
27500,620,360,6,4,5,Casa
6537.849244,170,170,7,2,1,Casa
5720.618088,280,280,5,3,2,Casa
4903.386933,260,260,3,2,1,Casa
18000,385,278,4,5,2,Casa
8000,303,140,4,2,3,Casa
19000,250,250,4,3,1,Casa
12000,262,255,12,9,3,Casa
9500,385,138,4,4,2,Casa
4903.386933,180,150,3,1,2,Casa
2911,146,171,14,2,0,Casa
5066.833164,200,180,7,5,1,Casa
13900,353,159,4,3,2,Casa
7100,155,95,3,3,2,Casa
10000,421,190,4,3,2,Casa
5390,136,123,4,4,1,Casa
4900,120,120,3,2,1,Casa
13500,256,160,4,3,3,Casa
7100,155,95,3,3,2,Casa
7100,155,95,3,3,2,Casa
7100,155,95,3,3,2,Casa
4739.940702,220,220,13,6,1,Casa
15000,380,200,4,3,2,Casa
12000,260,260,11,7,1,Casa
13500,350,220,7,4,0,Casa
12950,124,124,4,3,2,Casa
3550,75,75,3,2,1,Casa
7000,201,130,5,3,2,Casa
6200,500,480,15,6,2,Casa
15950,1000,260,5,4,8,Casa
16500,320,200,6,4,0,Casa
13830,472,182,5,5,3,Casa
5390,136,123,4,4,1,Casa
7500,97,121.75,5,3,2,Casa
6210.956782,220,220,17,4,0,Casa
5500,160,93,3,3,1,Casa
13000,350,260,5,4,2,Casa
8500,365,180,5,4,4,Casa
5390,136,123,4,4,1,Casa
4000,100,100,4,3,0,Casa
5390,136,123,4,4,1,Casa
4903.386933,180,150,3,1,2,Casa
5390,136,123,4,4,1,Casa
6047.51055,240,225,4,2,4,Casa
18000,600,180,4,3,0,Casa
4903.386933,180,150,3,1,2,Casa
10000,360,272,6,5,3,Casa
8172.311555,220,220,4,3,1,Casa
20000,350,270,5,4,2,Casa
9000,264.6,162.95,5,4,4,Casa
25000,670,363,5,6,2,Casa
11950,469,469,5,4,2,Casa
33000,943,350,4,5,2,Casa
4925,180,180,7,6,1,Casa
20000,400,250,5,4,3,Casa
15037.05326,1602,324.9,4,4,4,Casa
17000,448,252,5,4,0,Casa
9152.988941,426,140,3,3,2,Casa
5230.279395,180,180,4,2,1,Casa
7900,266,180,5,3,2,Casa
5557.171857,102,85,3,2,2,Casa
6537.849244,351,90,3,2,0,Casa
9500,400.73,162.19,4,3,3,Casa
21000,400,240,5,5,2,Casa
16000,163,160,5,4,0,Casa
6000,100,86,3,3,1,Casa
11244,320,148,5,4,0,Casa
17000,540,340,7,5,0,Casa
4925,180,180,7,6,1,Casa
25000,450,447.7,5,5,2,Casa
19800,400,240,5,5,2,Casa
7700,200,116,4,2,1,Casa
12000,460,220,4,3,2,Casa
10500,475.57,184.53,3,3,2,Casa
15000,200,345,8,4,2,Casa
4925,180,180,7,6,1,Casa
4925,180,180,7,6,1,Casa
10527,310,164,4,4,2,Casa
19900,530,407,5,4,2,Casa
5100,300,150,12,12,2,Casa
4925,180,180,7,6,1,Casa
8200,180,120,3,3,2,Casa
9300,36499,378,4,4,4,Casa
9806.773866,420,178,5,2,2,Casa
12200,453,213,5,4,3,Casa
8450,150,150,4,3,0,Casa
45000,490,600,8,9,4,Casa
14600,637,181,5,5,6,Casa
5884.064319,259.8,200,11,4,1,Casa
18000,273,273,5,5,4,Casa
9900,210,190,6,4,2,Casa
32000,1000,600,6,5,2,Casa
17300,425.5,419.11,5,5,5,Casa
12528,5000,240,5,4,4,Casa
9500,140,190,4,4,3,Casa
12000,450,140,5,4,4,Casa
23766,80,80,2,1,0,Casa
7000,77,127,4,3,1,Casa
14900,380,300,4,3,2,Casa
9141,1000,60,2,1,0,Casa
