,ID,uf,m2_const,sup_terreno,dormitorios,baños,estacionamientos,bodegas,d_casa,d_proyecto,COMUNA,longitud,latitud
12051,12052,2050.0,50.0,50.0,2,1,0,0,0,0,13106,-70.6915896,-33.4558248
12052,12053,1991.0,31.6,31.6,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12053,12054,1950.0,30.0,30.0,1,1,0,0,0,0,13106,-70.6977809,-33.450314
12054,12055,2450.0,99.0,99.0,2,2,2,0,0,0,13106,-70.6934893,-33.4521014
12055,12056,1600.0,30.0,30.0,1,1,0,0,0,0,13106,-70.6906844,-33.4572695
12056,12057,2170.0,34.84,34.84,1,1,0,0,0,0,13106,-70.692063,-33.457254
12057,12058,1806.0,29.8,29.8,1,1,0,0,0,0,13106,-70.6977809,-33.450314
12058,12059,1849.0,29.8,29.8,1,1,0,0,0,0,13106,-70.6977809,-33.450314
12059,12060,1580.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6960927,-33.453858
12060,12061,2000.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6951295,-33.4538943
12061,12062,1550.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6960927,-33.453858
12062,12063,1900.0,30.0,30.0,1,1,0,0,0,0,13106,-70.6977768,-33.4502602
12063,12064,1950.0,36.0,36.0,1,1,0,0,0,0,13106,-70.6927548,-33.4531615
12064,12065,1570.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6960927,-33.453858
12065,12066,1530.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6924295,-33.4553981
12066,12067,2323.0,40.0,40.0,2,1,1,0,0,0,13106,-70.6977809,-33.450314
12067,12068,1700.0,20.52,20.52,1,1,0,0,0,0,13106,-70.694321,-33.451244
12068,12069,1259.209991,25.0,25.0,1,1,0,0,0,0,13106,-70.6914573,-33.4560279
12069,12070,1921.0,30.0,30.0,1,1,0,0,0,0,13106,-70.691493,-33.4560359
12070,12071,1700.0,20.0,20.0,1,1,0,0,0,0,13106,-70.6965131,-33.4512446
12071,12072,1874.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6978065,-33.4504388
12072,12073,2658.0,44.0,44.0,2,1,0,0,0,0,13106,-70.6979971,-33.4499878
12073,12074,1639.0,32.19,32.19,1,1,0,0,0,0,13106,-70.691493,-33.4560359
12074,12075,1836.0,30.7,30.7,1,1,0,0,0,0,13106,-70.69779,-33.450347
12075,12076,2091.0,40.0,40.0,2,1,0,0,0,0,13106,-70.697793,-33.450381
12076,12077,1716.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6978065,-33.4504388
12077,12078,1877.0,30.7,30.7,1,1,0,0,0,0,13106,-70.6978065,-33.4504388
12078,12079,2498.0,44.0,44.0,2,1,1,0,0,0,13106,-70.6977809,-33.450314
12079,12080,1857.0,30.0,30.0,1,1,0,0,0,0,13106,-70.6978065,-33.4504388
12080,12081,2624.0,47.0,47.0,2,1,0,0,0,0,13106,-70.6978065,-33.4504388
12081,12082,1880.0,33.0,33.0,1,1,0,0,0,0,13106,-70.6978065,-33.4504388
12082,12083,1800.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6965131,-33.4512446
12083,12084,1912.0,35.6,35.6,1,1,0,0,0,0,13106,-70.6921651,-33.4573081
12084,12085,2118.0,28.0,28.0,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12085,12086,1824.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6977809,-33.450314
12086,12087,2297.0,44.0,44.0,2,1,0,0,0,0,13106,-70.6978065,-33.4504388
12087,12088,1485.0,24.0,24.0,1,1,0,0,0,0,13106,-70.6969757,-33.4512711
12088,12089,1800.0,34.0,34.0,1,1,0,0,0,0,13106,-70.6969004,-33.4540468
12089,12090,1500.0,20.52,20.52,1,1,0,0,0,0,13106,-70.6943268,-33.4512356
12090,12091,1870.0,30.0,30.0,1,1,1,0,0,0,13106,-70.6915183,-33.4561218
